branch,param,pps,solan,max_tree,max_leaves,throughput_avg,pps_avg,latency_avg
quickscore,1,130000,2,20,32,15137252.67175069,119130.30094166666,580.1956666666666
randforest,1,40000,3,10,64,0.0,58647.99255,39447.23186666667
quickscore,1,20000,3,50,8,8197810.916061492,18464.0412,1011.816725
randforest,1,50000,3,20,32,0.0,79834.5432,30226.668383333334
quickscore,1,30000,2,60,32,11546710.064228684,27694.433016666666,1009.2981666666667
quickscore,1,90000,2,50,16,35347930.17577202,83078.15313333334,736.2892916666667
quickscore,1,130000,2,60,32,15075346.868837973,118563.30838333334,639.0269416666666
randforest,1,120000,3,20,8,0.0,82501.89228333333,16350.408433333334
quickscore,1,50000,2,50,8,11340785.115933726,27778.677675,3400.0484166666665
svm,1,140000,1,1,1,13863502.715836167,110216.729175,4098.690108333333
quickscore,1,60000,3,20,16,23320948.793886866,55386.873825,777.4110083333334
randforest,1,20000,3,20,32,0.0,72428.257275,41773.59244166667
quickscore,1,70000,1,50,8,27930900.3095673,64617.30921666667,819.8482333333334
quickscore,1,30000,2,10,8,11491372.0835026,27309.623408333333,909.2350083333333
quickscore,1,30000,1,70,32,11543410.617875075,27693.987716666667,1034.2382833333334
randforest,1,140000,1,10,8,0.0,84305.61583333333,14278.816891666667
quickscore,1,40000,3,50,16,15739188.133089183,36925.198658333335,903.9768
randforest,1,60000,1,20,8,0.0,67089.95884166667,28580.360266666667
quickscore,1,150000,1,90,32,17489624.931290615,120360.58665,690.194475
quickscore,1,120000,3,50,8,513.9929349666667,2.7649083333333335,6855.2103916666665
quickscore,1,140000,1,60,8,17042418.57218264,122830.44554166666,637.9311583333333
quickscore,1,70000,3,10,32,27761276.285057317,64617.35031666666,790.7929416666667
quickscore,1,110000,1,30,32,7152255.0940672485,101540.02625833334,649.178
quickscore,1,40000,1,10,8,9391930.360344809,22242.175041666665,3288.247375
randforest,1,70000,2,20,16,0.0,86933.67944166667,22139.503291666668
quickscore,1,20000,3,70,16,8155903.311983341,18464.431408333334,1103.40235
quickscore,1,120000,2,100,8,11448065.0511746,109132.6884,718.584425
quickscore,1,110000,2,10,8,524.9761942083334,2.7898666666666667,7331.923725
svm,1,70000,2,1,1,28033251.434523616,63614.252175,4908.242908333334
quickscore,1,10000,3,30,32,3719184.560506908,9232.968408333334,1628.3630583333334
quickscore,1,70000,3,20,32,27763592.975137666,64617.436591666665,791.1884666666666
quickscore,1,20000,2,40,8,8175252.920986508,18464.1298,991.29725
randforest,1,40000,3,20,32,0.0,71453.34576666667,34596.71731666667
randforest,1,70000,2,10,8,0.0,71324.13050833333,21630.277716666667
quickscore,1,100000,2,70,32,3965571.705473308,92310.04330833333,743.325125
quickscore,1,50000,1,80,32,19865040.187649265,46155.896558333334,959.557925
quickscore,1,130000,3,70,32,14997982.09794462,118246.60885,662.646425
svm,2,60000,1,1,1,25282765.90580939,60002.52595,865.51035
quickscore,1,60000,1,50,8,23381935.067412876,55386.866,876.4404666666667
quickscore,1,60000,2,90,16,23321208.91596885,55386.89790833333,951.6069583333333
quickscore,1,40000,1,80,32,15735773.852394333,36925.36436666667,1001.67315
quickscore,1,70000,1,50,32,27763193.870480966,64617.76288333334,857.313175
quickscore,1,40000,2,50,8,503.17116864166667,2.6065500000000004,7705.035275
quickscore,1,150000,3,20,8,18159184.431220576,124472.00421666667,583.5513
quickscore,1,150000,1,80,32,17557229.26487353,120720.137575,674.3589583333334
quickscore,1,60000,1,20,16,23323489.98959326,55386.63034166666,806.2322916666667
quickscore,1,130000,3,90,8,521.9883175416667,2.8483500000000004,7273.183483333333
randforest,1,150000,3,10,64,0.0,76936.69826666667,17871.703058333333
quickscore,1,140000,1,20,16,16891705.34091915,122098.857575,566.054975
svm,2,80000,2,1,1,33895691.77745066,79999.9002,761.321075
quickscore,1,140000,3,60,16,16897348.710912,121635.647575,609.9261333333334
svm,1,30000,2,1,1,12157767.946842708,29037.480325,7310.982
quickscore,1,130000,1,90,8,515.02856015,2.7481500000000003,7031.3875
randforest,1,80000,2,10,32,0.0,79048.74661666667,19322.243175
quickscore,1,90000,3,30,8,516.17480395,2.6230583333333333,7181.7265333333335
quickscore,1,110000,3,30,8,527.8468122583333,2.789925,7109.285408333333
quickscore,1,120000,2,100,32,11453514.45084545,109891.3217,736.9795916666667
randforest,1,60000,2,20,64,0.0,83088.25074166666,27310.765933333332
svm,2,20000,3,1,1,8808025.565120729,20003.02761016949,985.5657288135593
quickscore,1,110000,3,50,32,7150288.315015967,101541.15370833334,669.117
quickscore,1,150000,2,10,16,17879429.14689757,122467.474,552.9478166666667
randforest,1,80000,2,10,64,0.0,80673.5903,17988.113783333334
quickscore,1,150000,1,50,16,17601591.917673875,121380.50074166666,594.858575
quickscore,1,20000,1,60,8,495.1634958916667,2.4984583333333337,8729.595666666666
quickscore,1,150000,2,60,16,17329661.5287349,120507.67213333333,606.5529166666666
randforest,1,100000,2,20,8,0.0,80478.07056666666,18193.029866666668
randforest,1,50000,1,20,8,0.0,65011.07098333333,29827.637091666667
randforest,1,50000,2,20,16,0.0,66911.07169166667,31652.659475
quickscore,1,90000,2,30,32,35344907.97791855,83077.71205833333,716.316825
quickscore,1,90000,2,90,16,35346449.950275205,83064.286275,784.2374666666667
randforest,1,120000,2,20,32,0.0,98741.85828333333,15012.574416666666
randforest,1,40000,2,10,16,0.0,52487.213658333334,42178.671975
randforest,1,50000,2,10,16,0.0,59966.903333333335,31823.94501666667
svm,2,90000,1,1,1,2645869.587348425,89937.846675,706.8007416666667
quickscore,1,90000,2,80,32,35346218.9775016,83077.97085,794.6096666666667
randforest,1,110000,1,20,8,0.0,80487.16171666667,17126.247058333334
quickscore,1,120000,2,30,32,11576950.210941743,110722.67895833333,605.6821166666666
quickscore,1,40000,2,70,32,15737843.404088616,36925.404725,980.02055
quickscore,1,90000,1,30,8,-413635.6932730177,81900.093975,737.4431833333333
quickscore,1,90000,3,30,32,35344934.629860684,83078.42114166667,728.959225
quickscore,1,20000,3,10,8,490.523879575,2.3232333333333335,8472.581383333334
randforest,1,150000,2,20,64,0.0,112208.67260833333,12926.737541666667
quickscore,1,20000,3,90,32,8154541.75704255,18463.736925,1128.28855
quickscore,1,110000,1,40,16,7154774.46249121,101540.74284166667,633.2394416666667
quickscore,1,90000,3,10,32,35343667.78878636,83078.23050833333,691.7935166666666
quickscore,1,50000,3,90,32,19861264.69841316,46155.84775,976.4873416666667
quickscore,1,20000,3,30,32,8160159.895596792,18463.618416666668,1007.488675
svm,1,60000,3,1,1,23489761.026864216,54473.48535,5595.398108333334
quickscore,1,70000,2,20,32,27762107.105713833,64617.34939166667,780.0742750000001
base,2,150000,3,1,1,25315585.162575617,140437.74759166667,67.87444166666667
quickscore,1,60000,3,80,8,23274766.903970025,54621.12425833333,919.0019583333333
randforest,1,120000,1,20,8,0.0,79148.48520833334,18370.568258333333
quickscore,1,100000,1,10,16,3967886.8223933233,92307.60645,632.6160833333333
quickscore,1,140000,3,10,16,16789781.41194969,121924.63291666667,568.6661166666667
quickscore,1,80000,2,80,16,31318549.458575983,73847.817375,835.128525
quickscore,1,40000,2,10,16,15743314.870339617,36925.27683333333,810.3566666666667
randforest,1,80000,1,20,32,0.0,90583.74518333333,17024.55405
quickscore,1,70000,2,100,32,27760298.622601543,64616.91304166667,972.2213833333333
svm,1,140000,3,1,1,14014606.643549034,110595.52235833333,4077.9196083333336
base,2,90000,1,1,1,2513374.6007239143,89992.10621666667,73.198
quickscore,1,110000,3,100,8,521.7893648833333,2.789941666666667,6675.7522
randforest,1,110000,2,20,64,0.0,96804.46600833333,15054.913491666666
quickscore,1,130000,1,50,32,15093036.437498102,118687.50023333334,637.8765083333334
base,2,100000,1,1,1,7273335.748780968,99989.03610833333,75.30123333333333
quickscore,1,10000,1,20,8,518.910744975,2.7976833333333335,5456.886133333333
quickscore,1,60000,1,70,32,23321100.05881471,55386.48096666667,943.660625
svm,2,10000,3,1,1,4027540.9155856166,10003.018491666668,1228.9088166666666
randforest,1,120000,3,20,16,0.0,89483.79634166666,15996.015891666666
quickscore,1,130000,3,60,16,15118362.157270977,118921.09605,612.1740833333333
randforest,1,70000,3,10,64,0.0,83332.25473333334,21386.421191666668
randforest,1,30000,2,20,32,0.0,71188.816725,37929.30150833333
randforest,1,130000,2,20,64,0.0,133937.49939166667,10216.515008333334
quickscore,1,20000,1,50,16,8153865.868115459,18463.661691666668,961.8964916666666
quickscore,1,70000,3,90,32,27762506.2391976,64617.63948333333,934.5542583333333
randforest,1,20000,3,10,64,0.0,58674.309708333334,41295.32221666667
randforest,1,30000,2,20,64,0.0,79061.26995833333,38925.309875
randforest,1,90000,2,20,32,0.0,113355.24404166666,16709.153541666667
randforest,1,80000,2,20,32,0.0,94657.79361666666,15991.164241666667
quickscore,1,20000,1,90,32,8154837.901749983,18463.783883333334,1153.6422833333334
quickscore,1,60000,2,90,8,517.6786116416666,2.731466666666667,6790.9444416666665
randforest,1,110000,3,20,16,0.0,82793.78764166667,17413.043916666666
quickscore,1,130000,3,40,8,15197051.630737282,119528.94145833333,610.0995416666667
randforest,1,140000,2,10,16,0.0,89192.28385,13417.499341666668
quickscore,1,120000,1,80,8,535.0668708416666,2.8732583333333337,7437.3533333333335
quickscore,1,30000,1,60,8,11622320.489265142,27694.4825,921.62245
randforest,1,60000,3,10,64,0.0,71314.25465,28458.412183333334
quickscore,1,130000,1,50,8,14523486.486393323,117906.11221666666,646.3912333333334
svm,2,80000,3,1,1,33927598.296068415,79999.123075,769.2810916666666
quickscore,1,70000,2,10,8,513.3799137583334,2.856525,6782.943033333333
quickscore,1,140000,3,10,8,582.4117157083333,3.7643750000000002,5455.657358333333
quickscore,1,90000,1,100,32,35343680.395687506,83078.78945,862.9945166666666
randforest,1,70000,3,10,32,0.0,81852.632825,21649.9652
quickscore,1,140000,2,90,32,16670870.282274865,120400.27415833333,697.5301833333333
randforest,1,50000,2,10,32,0.0,62877.220591666664,34077.09641666667
